ship	leg	departure	arrival	startx	starty	destinationx	destinationy
58	1	1763	1763	800	-200	1011	879
59	1	1763	1763	800	-250	1011	879
60	1	1763	1763	800	-300	1011	879
61	1	1763	1763	800	-350	1011	879
62	1	1763	1763	800	-400	1011	879
63	1	1763	1763	800	-450	1011	879
64	1	1763	1763	800	-500	1011	879
65	1	1763	1763	800	-550	1011	879
66	1	1763	1763	800	-600	1011	879
67	1	1764	1764	800	-100	1011	879
68	1	1764	1764	800	-150	1011	879
69	1	1764	1764	800	-200	1011	879
70	1	1764	1764	800	-250	1011	879
71	1	1764	1764	800	-300	1011	879
72	1	1764	1764	800	-350	1011	879
73	1	1764	1764	800	-400	1011	879
74	1	1764	1764	800	-450	1011	879
75	1	1764	1764	800	-500	1011	879
76	1	1764	1764	800	-550	1011	879
77	1	1764	1764	800	-600	1011	879
78	1	1764	1764	800	-650	1011	879
79	1	1764	1764	800	-700	1011	879
80	1	1764	1764	800	-750	1011	879
81	1	1764	1764	800	-800	1011	879
82	1	1764	1764	800	-850	1011	879
83	1	1765	1765	800	-100	1011	879
84	1	1765	1765	800	-150	1011	879
85	1	1765	1765	800	-200	1011	879
86	1	1765	1765	800	-250	1011	879
87	1	1765	1765	800	-300	1011	879
88	1	1765	1765	800	-350	1011	879
89	1	1765	1765	800	-400	1011	879
90	1	1765	1765	800	-450	1011	879
91	1	1765	1765	800	-500	1011	879
92	1	1765	1765	800	-550	1011	879
93	1	1765	1765	800	-600	1011	879
94	1	1765	1765	800	-650	1011	879
95	1	1765	1765	800	-700	1011	879
96	1	1765	1765	800	-750	1011	879
97	1	1765	1765	800	-800	1011	879
98	1	1765	1765	800	-850	1011	879
99	1	1765	1765	800	-900	1011	879
100	1	1765	1765	800	-950	1011	879
101	1	1766	1766	800	-100	1011	879
102	1	1766	1766	800	-150	1011	879
103	1	1766	1766	800	-200	1011	879
104	1	1766	1766	800	-250	1011	879
105	1	1766	1766	800	-300	1011	879
106	1	1766	1766	800	-350	1011	879
107	1	1766	1766	800	-400	1011	879
108	1	1766	1766	800	-450	1011	879
109	1	1766	1766	800	-500	1011	879
110	1	1766	1766	800	-550	1011	879
111	1	1766	1766	800	-600	1011	879
112	1	1766	1766	800	-650	1011	879
113	1	1766	1766	800	-700	1011	879
114	1	1766	1766	800	-750	1011	879
115	1	1766	1766	800	-800	1011	879
116	1	1766	1766	800	-850	1011	879
117	1	1766	1766	800	-900	1011	879
118	1	1767	1767	800	-100	1011	879
119	1	1767	1767	800	-150	1011	879
120	1	1767	1767	800	-200	1011	879
121	1	1767	1767	800	-250	1011	879
122	1	1767	1767	800	-300	1011	879
123	1	1767	1767	800	-350	1011	879
124	1	1767	1767	800	-450	1011	879
126	1	1767	1767	800	-500	1011	879
127	1	1767	1767	800	-550	1011	879
128	1	1767	1767	800	-600	1011	879
129	1	1767	1767	800	-650	1011	879
130	1	1767	1767	800	-700	1011	879
131	1	1767	1767	800	-750	1011	879
132	1	1767	1767	800	-800	1011	879
133	1	1767	1767	800	-850	1011	879
134	1	1767	1767	800	-900	1011	879
135	1	1767	1767	800	-950	1011	879
136	1	1767	1767	800	-1000	1011	879
137	1	1768	1768	800	-100	1011	879
138	1	1768	1768	800	-150	1011	879
139	1	1768	1768	800	-200	1011	879
140	1	1768	1768	800	-250	1011	879
141	1	1768	1768	800	-300	1011	879
142	1	1768	1768	800	-350	1011	879
143	1	1768	1768	800	-400	1011	879
144	1	1768	1768	800	-450	1011	879
145	1	1768	1768	800	-500	1011	879
146	1	1768	1768	800	-550	1011	879
147	1	1768	1768	800	-600	1011	879
148	1	1768	1768	800	-650	1011	879
149	1	1768	1768	800	-700	1011	879
150	1	1768	1768	800	-750	1011	879
151	1	1769	1769	800	-100	1011	879
152	1	1769	1769	800	-150	1011	879
153	1	1769	1769	800	-200	1011	879
154	1	1769	1769	800	-250	1011	879
155	1	1769	1769	800	-300	1011	879
156	1	1769	1769	800	-350	1011	879
157	1	1769	1769	800	-400	1011	879
158	1	1769	1769	800	-450	1011	879
159	1	1769	1769	800	-500	1011	879
160	1	1769	1769	800	-550	1011	879
161	1	1769	1769	800	-600	1011	879
162	1	1769	1769	800	-650	1011	879
163	1	1769	1769	800	-700	1011	879
164	1	1769	1769	800	-750	1011	879
165	1	1769	1769	800	-800	1011	879
166	1	1770	1770	800	-100	1011	879
167	1	1770	1770	800	-150	1011	879
168	1	1770	1770	800	-200	1011	879
169	1	1770	1770	800	-250	1011	879
170	1	1770	1770	800	-300	1011	879
171	1	1770	1770	800	-350	1011	879
172	1	1770	1770	800	-400	1011	879
173	1	1770	1770	800	-450	1011	879
174	1	1770	1770	800	-500	1011	879
175	1	1770	1770	800	-550	1011	879
176	1	1770	1770	800	-600	1011	879
177	1	1770	1770	800	-650	1011	879
178	1	1770	1770	800	-700	1011	879
179	1	1770	1770	800	-750	1011	879
180	1	1770	1770	800	-800	1011	879
181	1	1770	1770	800	-850	1011	879
182	1	1770	1770	800	-900	1011	879
183	1	1770	1770	800	-950	1011	879
184	1	1770	1770	800	-1000	1011	879
185	1	1770	1770	800	-1050	1011	879
186	1	1770	1770	800	-1100	1011	879
187	1	1771	1771	800	-100	1011	879
188	1	1771	1771	800	-150	1011	879
189	1	1771	1771	800	-200	1011	879
190	1	1771	1771	800	-250	1011	879
191	1	1771	1771	800	-300	1011	879
192	1	1771	1771	800	-350	1011	879
193	1	1771	1771	800	-400	1011	879
194	1	1771	1771	800	-450	1011	879
195	1	1771	1771	800	-500	1011	879
196	1	1771	1771	800	-550	1011	879
197	1	1771	1771	800	-600	1011	879
198	1	1771	1771	800	-650	1011	879
199	1	1771	1771	800	-700	1011	879
200	1	1771	1771	800	-750	1011	879
201	1	1771	1771	800	-800	1011	879
202	1	1771	1771	800	-850	1011	879
203	1	1771	1771	800	-900	1011	879
204	1	1771	1771	800	-950	1011	879
205	1	1771	1771	800	-1000	1011	879
206	1	1771	1771	800	-1050	1011	879
207	1	1772	1772	800	-100	1011	879
208	1	1772	1772	800	-150	1011	879
209	1	1772	1772	800	-200	1011	879
210	1	1772	1772	800	-250	1011	879
211	1	1772	1772	800	-300	1011	879
212	1	1772	1772	800	-350	1011	879
213	1	1772	1772	800	-400	1011	879
214	1	1772	1772	800	-450	1011	879
215	1	1772	1772	800	-500	1011	879
216	1	1772	1772	800	-550	1011	879
217	1	1772	1772	800	-600	1011	879
218	1	1772	1772	800	-650	1011	879
219	1	1773	1773	800	-100	1011	879
220	1	1773	1773	800	-150	1011	879
221	1	1773	1773	800	-200	1011	879
222	1	1773	1773	800	-250	1011	879
223	1	1773	1773	800	-300	1011	879
224	1	1773	1773	800	-350	1011	879
225	1	1773	1773	800	-400	1011	879
226	1	1773	1773	800	-450	1011	879
227	1	1773	1773	800	-500	1011	879
228	1	1773	1773	800	-550	1011	879
229	1	1773	1773	800	-600	1011	879
230	1	1773	1773	800	-650	1011	879
231	1	1773	1773	800	-700	1011	879
232	1	1773	1773	800	-750	1011	879
233	1	1774	1774	800	-100	1011	879
234	1	1774	1774	800	-150	1011	879
235	1	1774	1774	800	-200	1011	879
236	1	1774	1774	800	-250	1011	879
237	1	1774	1774	800	-300	1011	879
238	1	1774	1774	800	-350	1011	879
239	1	1775	1775	800	-100	1011	879
240	1	1775	1775	800	-150	1011	879
241	1	1775	1775	800	-200	1011	879
242	1	1775	1775	800	-250	1011	879
243	1	1776	1776	800	-100	1011	879
244	1	1776	1776	800	-150	1011	879
245	1	1776	1776	800	-200	1011	879
246	1	1776	1776	800	-250	1011	879
247	1	1776	1776	800	-300	1011	879
248	1	1776	1776	800	-350	1011	879
249	1	1777	1777	800	-100	1011	879
250	1	1777	1777	800	-150	1011	879
251	1	1777	1777	800	-200	1011	879
252	1	1777	1777	800	-250	1011	879
253	1	1777	1777	800	-300	1011	879
254	1	1777	1777	800	-100	1011	879
255	1	1778	1778	800	-150	1011	879
256	1	1778	1778	800	-200	1011	879
257	1	1778	1778	800	-250	1011	879
258	1	1778	1778	800	-300	1011	879
259	1	1778	1778	800	-350	1011	879
260	1	1779	1779	800	-100	1011	879
261	1	1779	1779	800	-150	1011	879
262	1	1779	1779	800	-200	1011	879
263	1	1779	1779	800	-250	1011	879
264	1	1779	1779	800	-300	1011	879
265	1	1780	1780	800	-100	1011	879
266	1	1780	1780	800	-150	1011	879
267	1	1780	1780	800	-200	1011	879
268	1	1780	1780	800	-250	1011	879
269	1	1780	1780	800	-300	1011	879
270	1	1783	1783	800	-100	1011	879
271	1	1784	1784	800	-100	1011	879
272	1	1784	1784	800	-150	1011	879
273	1	1784	1784	800	-200	1011	879
274	1	1784	1784	800	-250	1011	879
275	1	1784	1784	800	-300	1011	879
276	1	1784	1784	800	-350	1011	879
277	1	1784	1784	800	-400	1011	879
278	1	1784	1784	800	-450	1011	879
279	1	1785	1785	800	-100	1011	879
280	1	1785	1785	800	-150	1011	879
281	1	1786	1786	800	-100	1011	879
282	1	1787	1787	800	-100	1011	879
283	1	1787	1787	800	-150	1011	879
284	1	1788	1788	800	-100	1011	879
285	1	1788	1788	800	-150	1011	879
286	1	1788	1788	800	-200	1011	879
287	1	1789	1789	800	-250	1011	879
288	1	1789	1789	800	-300	1011	879
289	1	1789	1789	800	-350	1011	879
290	1	1789	1789	800	-400	1011	879
291	1	1789	1789	800	-450	1011	879
292	1	1789	1789	800	-500	1011	879
293	1	1790	1790	800	-100	1011	879
294	1	1790	1790	800	-150	1011	879
295	1	1790	1790	800	-200	1011	879
296	1	1791	1791	800	-100	1011	879
297	1	1791	1791	800	-150	1011	879
298	1	1791	1791	800	-200	1011	879
299	1	1791	1791	800	-250	1011	879
300	1	1791	1791	800	-300	1011	879
301	1	1791	1791	800	-350	1011	879
302	1	1791	1791	800	-400	1011	879
303	1	1792	1792	800	-100	1011	879
304	1	1792	1792	800	-150	1011	879
305	1	1792	1792	800	-200	1011	879
306	1	1792	1792	800	-250	1011	879
307	1	1792	1792	800	-300	1011	879
308	1	1792	1792	800	-350	1011	879
309	1	1792	1792	800	-400	1011	879
310	1	1792	1792	800	-450	1011	879
311	1	1792	1792	800	-500	1011	879
312	1	1792	1792	800	-550	1011	879
313	1	1792	1792	800	-600	1011	879
314	1	1792	1792	800	-650	1011	879
315	1	1793	1793	800	-100	1011	879
316	1	1793	1793	800	-150	1011	879
317	1	1793	1793	800	-200	1011	879
318	1	1793	1793	800	-250	1011	879
319	1	1793	1793	800	-300	1011	879
320	1	1793	1793	800	-350	1011	879
321	1	1793	1793	800	-400	1011	879
322	1	1793	1793	800	-450	1011	879
323	1	1793	1793	800	-500	1011	879
324	1	1793	1793	800	-550	1011	879
325	1	1793	1793	800	-600	1011	879
326	1	1793	1793	800	-650	1011	879
327	1	1793	1793	800	-700	1011	879
328	1	1793	1793	800	-750	1011	879
329	1	1793	1793	800	-800	1011	879
329	1	1757	1757	700	-100	515	748
330	1	1758	1758	700	-100	515	748
331	1	1758	1758	700	-150	515	748
332	1	1762	1762	700	-100	515	748
333	1	1762	1762	700	-150	515	748
334	1	1763	1763	700	-100	515	748
335	1	1766	1766	700	-100	515	748
336	1	1766	1766	700	-150	515	748
337	1	1767	1767	700	-100	515	748
338	1	1767	1767	700	-150	515	748
339	1	1768	1768	700	-100	515	748
340	1	1768	1768	700	-150	515	748
341	1	1769	1769	700	-100	515	748
342	1	1771	1771	700	-100	515	748
343	1	1772	1772	700	-100	515	748
344	1	1772	1772	700	-150	515	748
345	1	1772	1772	700	-200	515	748
346	1	1772	1772	700	-250	515	748
347	1	1772	1772	700	-300	515	748
348	1	1773	1773	700	-100	515	748
349	1	1773	1773	700	-150	515	748
350	1	1790	1790	700	-100	515	748
351	1	1791	1791	700	-100	515	748
352	1	1793	1793	700	-100	515	748
353	1	1768	1768	500	-100	279	641
354	1	1775	1775	500	-100	279	641
355	1	1775	1775	500	-150	279	641
356	1	1776	1776	500	-100	279	641
357	1	1780	1780	500	-100	279	641
358	1	1782	1782	500	-100	279	641
359	1	1784	1784	500	-100	279	641
360	1	1785	1785	500	-100	279	641
361	1	1785	1785	500	-150	279	641
362	1	1785	1785	500	-200	279	641
363	1	1785	1785	500	-250	279	641
364	1	1787	1787	500	-100	279	641
365	1	1787	1787	500	-150	279	641
366	1	1787	1787	500	-200	279	641
367	1	1788	1788	500	-100	279	641
368	1	1788	1788	500	-150	279	641
369	1	1789	1789	500	-100	279	641
370	1	1790	1790	500	-100	279	641
371	1	1790	1790	500	-150	279	641
372	1	1790	1790	500	-200	279	641
373	1	1791	1791	500	-100	279	641
374	1	1792	1792	500	-100	279	641
375	1	1793	1793	500	-100	279	641
376	1	1793	1793	500	-150	279	641
377	1	1762	1762	400	-100	187,626
378	1	1763	1763	400	-100	187,626
379	1	1765	1765	400	-100	187,626
380	1	1766	1766	400	-100	187,626
381	1	1767	1767	400	-100	187,626
382	1	1767	1767	400	-150	187,626
383	1	1767	1767	400	-200	187,626
384	1	1768	1768	400	-100	187,626
385	1	1768	1768	400	-150	187,626
386	1	1769	1769	400	-100	187,626
387	1	1769	1769	400	-150	187,626
388	1	1770	1770	400	-100	187,626
389	1	1770	1770	400	-150	187,626
390	1	1770	1770	400	-200	187,626
391	1	1771	1771	400	-100	187,626
392	1	1771	1771	400	-150	187,626
393	1	1771	1771	400	-200	187,626
394	1	1771	1771	400	-250	187,626
395	1	1771	1771	400	-300	187,626
396	1	1772	1772	400	-100	187,626
397	1	1772	1772	400	-150	187,626
398	1	1773	1773	400	-100	187,626
399	1	1773	1773	400	-150	187,626
400	1	1773	1773	400	-200	187,626
401	1	1774	1774	400	-100	187,626
402	1	1774	1774	400	-150	187,626
403	1	1774	1774	400	-200	187,626
404	1	1774	1774	400	-250	187,626
405	1	1775	1775	400	-100	187,626
406	1	1777	1777	400	-100	187,626
407	1	1778	1778	400	-100	187,626
408	1	1779	1779	400	-100	187,626
409	1	1779	1779	400	-150	187,626
410	1	1780	1780	400	-100	187,626
411	1	1781	1781	400	-100	187,626
